Source,Song.Title,Artist,Lyric,Commentary,Code,Recode
https://www.kpopstarz.com/articles/307527/20220703/7-questionable-english-lyrics-from-kpop-songs-that-have-fans-scratching-their-heads.htm,Mamacita,Super Junior,"Just close your lips, shut your tongue","Although Shindong sang the part with great confidence and seriousness, many couldn't help but poke fun at the ""wise"" lyrics.",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Mamacita,Super Junior,"Just close your lips, shut your tongue.",What? How?,Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Mamacita,Super Junior,"Just close your lips, shut your tongue.",How many people attempted to “shut their tongue” after hearing these lyrics by Shindong in Super Junior‘s “Mamacita”?,Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,God’s Menu,Stray Kids,Cooking like a chef I’m a five-star Michelin.,Cooking like a chef I'm a 5 star michellin And listing various types of cheese 🤣 I love it,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Cushion,SONAMOO,"He’s like a cushion, like a waterbed.","Um, again… He’s what, exactly? SONAMOO has some explaining to do this time for their song “Cushion”!",Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Ring Ding Dong,SHINee,I call you butterfly,"Well, there are worse pet names.",Cringe,Cringe
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Don’t Call Me,SHINee,Sick of all your trash.,"It's not really cringe since it's Shinee but I rewound ""Sick of all your trash"" so many times in Don't Call Me",Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Don’t Call Me,SHINee,Sick of all your trash.,LITERALLY THE MOST ADDICTING PART IN THAT SONG,Positive Assessment,Positive
https://www.kpopstarz.com/articles/307527/20220703/7-questionable-english-lyrics-from-kpop-songs-that-have-fans-scratching-their-heads.htm,Chivalry,SECHSKIES,The f*cking d*ck is in your p*ssy,"English-speaking fans were shook when they heard the now-iconic lyrics: ""Listen to my word, the f*cking d*ck is in your p*ssy.""",Innuendo,Innuendo
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Bouncy,Rocket Punch,I don’t need fake guy but awesome boy don’t stop/So can you take my heart like a bouncy bomb bouncy bomb.,Best kpop lyrics ever 😌 thank you Rocket Punch for delivering such emotional lines and impactful messages throught rapping,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Bouncy,Rocket Punch,I don’t need fake guy but awesome boy don’t stop/So can you take my heart like a bouncy bomb bouncy bomb.,We love Bouncy enthusiasts in this house,Positive Assessment,Positive
https://www.kpopstarz.com/articles/307527/20220703/7-questionable-english-lyrics-from-kpop-songs-that-have-fans-scratching-their-heads.htm,Throw It,RM,Got an automatic d*ck,"However, for his solo track ""Throw It"" in 2015, he threw ARMYs in for a loop when he said he ""got an automatic d*ck"" in the lyrics!",Innuendo,Innuendo
https://www.soompi.com/article/361458wpp/top-5-ridiculous-uses-of-english-in-kpop,A,Rainbow,"Just your collection line, easy access line","The opening lines “Just your collection line, easy access line” and repetition of “a” don’t make much sense (at all…), but that doesn’t stop the song from being fun.",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,No Diggity,ONEUS,"You’re so freaky freaky dumb, you’re so freaky now.",that's for the haters. i love it. and it's grammatically correct!🥰,Positive Assessment,Positive
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,O.O,NMIXX,"Check out, popcorn, and Zero Coke","However, it also serves some of the cringiest K-pop lyrics that are monotonous and even nonsensical in multiple places.",Discourse Disjunct,Disjunct
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,O.O,NMIXX,"Watch out, baila, baila, baila","However, it also serves some of the cringiest K-pop lyrics that are monotonous and even nonsensical in multiple places.",Discourse Disjunct,Disjunct
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,O.O,NMIXX,"Ayy, zip-zip, zoom, come on, come on baby, you're my superhero","However, it also serves some of the cringiest K-pop lyrics that are monotonous and even nonsensical in multiple places.",Discourse Disjunct,Disjunct
https://www.kpopstarz.com/articles/307527/20220703/7-questionable-english-lyrics-from-kpop-songs-that-have-fans-scratching-their-heads.htm,Regular,NCT 127,"I be walkin' with the cheese, that's the queso","While NCT 127's song ""Regular"" is definitely addicting, the song's writers definitely got a little too creative with the lyrics. In the song, the members sing the line: ""I be walkin' with the cheese, that's the queso."" Now, why are they walking with cheese? Isn't ""queso"" melted cheese? So many questions for the writers. But thankfully, the line is catchy!",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Regular,NCT 127,"I be walkin' with the cheese, that's the queso",Regular is genuinely the song that got me into kpop just because of that line which I saw people memeing a lot LMAO,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Regular,NCT 127,"I be walkin’ with the cheese, that’s the queso",The songwriters for the English version of NCT 127‘s “Regular” definitely got creative with some of its lyrics!,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Cherry Bomb,NCT,"If you’re happy and you know it clap your hands, yo","We can’t help but put multiple NCT songs like “Cherry Bomb” on this list, their lines are just too good!",Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Boss,NCT,Hot dog feel like I wear goose goose,"NCT‘s lyrics often have some pretty interesting lines in them, but this one by Taeyong in “Boss” is particularly unexplainable!",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Love Killa,MONSTA X,I want you to eat me like a main dish,"This is debatable, but I.M's line in MONSTA X's Love Killa: “I want you to eat me like a main dish”. The grammar is correct, definitely an iconic line, it's just...... A Lot",Innuendo,Innuendo
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Love Killa,MONSTA X,I want you to eat me like a main dish,He knew what he was saying 🗿,Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Y,MBLAQ,Give it to my 'Y'. Listen to my 'Y',"More like, ""Y those outfits bro.""",Cringe,Cringe
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Hi High,LOONA,Love is even more cruel than college entrance exams.,"We’re not sure what love did to the girls of LOONA to give them this line in “Hi High”, but it clearly was terrible!",Cringe,Cringe
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Pretty Girl,KARA,"If you wanna pretty, every wanna pretty",So... what's your point?,Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Pretty Girl,KARA,"Time to stop try calculate you making me frustrate
Is time to just trust fate ya know there's nothing to hesitate
Call me baby, call me honey, call me sweetie, yo
I'm digging everything I'm sensing from the vibes off you","Girl, you making ME frustrate",Cringe,Cringe
https://www.soompi.com/article/361458wpp/top-5-ridiculous-uses-of-english-in-kpop,Pretty GIrl,KARA,"If you wanna pretty, every wanna pretty","I really like Kara and this song is quite cute and fun, but the Engrish makes me cringe ><~! “If you wanna pretty, every wanna pretty” boggles my mind because it makes it sound as if “pretty” were a verb. And “every” who wants to pretty? I feel like I have been gypped by the incomplete lyrics.",Discourse Disjunct,Disjunct
https://www.kpopstarz.com/articles/307527/20220703/7-questionable-english-lyrics-from-kpop-songs-that-have-fans-scratching-their-heads.htm,Mission,JYJ,"Probably your money is unpublic
Try to save my life like a puppy and cream
Another hot movie character
Bumblebee treat me like a slave and I pray
Is it Halloween
Trick or treats oh please
Don't even try to pull my head own your way
Brand new person a man
So f**k off no more talk",Yoochun rapped an entire verse that doesn't make any sense at all.,Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Mission,JYJ,"Probably your money is unpublic
Try to save my life like a puppy and cream
Another hot movie character
Bumblebee treat me like a slave and I pray
Is it Halloween
Trick or treats oh please
Don't even try to pull my head own your way
Brand new person a man
So f**k off no more talk","Wait, what.",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Mission,JYJ,"Probably your money is unpublic
Try to save my life like a puppy and cream
Another hot movie character
Bumblebee treat me like a slave and I pray
Is it Halloween
Trick or treats oh please
Don’t even try to pull my head own your way
Brand new person a man
So f*** off no more talk",Can anyone really make sense of these lyrics?,Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Mysterious,HELLOVENUS,"He’s so dreamy, hot, and creamy","Ummm… He’s so what, exactly? HELLOVENUS has some explaining to do for this line in “Mysterious”!",Innuendo,Innuendo
https://www.kpopstarz.com/articles/307527/20220703/7-questionable-english-lyrics-from-kpop-songs-that-have-fans-scratching-their-heads.htm,Mysterious,HELLOVENUS,"He's so dreamy, hot and creamy","Despite the rather questionable lyrics, Hello Venus made it work with Yooyoung's sensual voice. Not to mention it rhymes!",Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Twinkle Twinkle,Girl's Day,"Hey boy, you make me feel like weak girl","Pro tip: if you make a girl feel weak, she'll fall in love with you.",Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Two Moons,EXO-K,Roll like a buffalo,That line is all kinds of swag.,Positive Assessment,Positive
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,MAMA,EXO,"Careless, careless. Shoot anonymous. Anonymous, heartless, mindless, no one who care about me.",But I care about you?,Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Love Me Right,EXO,Shawty Imma party ’til the sun down.,Partying all day and going to bed on time that's so sexy of them,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Love Me Right,EXO,Shawty Imma party ’til the sun down.,We have strict bed times here,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Love Me Right,EXO,Shawty Imma party ’til the sun down.,You can’t deny that this line from Sehun in EXO‘s “Love Me Right” is iconic.,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Pirate,Everglow,Well shiver me timbers.,I’ve seen people hate “well shiver me timbers” in Pirate by EVERGLOW but personally I think it’s cute and works with the song. It’s called Pirate what did you all expect?,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Pirate,Everglow,Well shiver me timbers.,"This line had me lmao first time I heard it cuz I'm an AC: Black Flag fan and I occasionally listen to this sea shanty medley, so hearing that line from E:U in an EDM song was hilarious. It DOES work with the song theme though and the delivery and placement in the rap wasn't bad, it was pretty good and wasn't cringy to me",Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,BOCA,Dreamcatcher,"Hold up (yeah), I’m a geek, the big paradox.","Despite how little sense this line from Dreamcatcher‘s “BOCA” seems to make, Dami still somehow made it sound convincing!",Positive Assessment,Positive
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,Forever Young,BLACKPINK,"Girls wanna have some fun. We go dumb dumb dumb. Yeah, girls wanna have some fun. We ain't done done done (let's go). Whatta bum bum whatta bum bum.","However, the ending was a bummer for many, including BLINKs. Lisa’s rap written by Teddy and Future Bounce, has a lot of repetition and wrong word choices that place it in the hall of the cringiest K-pop lyrics.",Cringe,Cringe
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,DDU-DU DDU-DU,BLACKPINK,"B*tch I’m a star, but no Patrick.","And finally, a list like this wouldn’t be complete without Lisa‘s iconic line from BLACKPINK‘s “DDU-DU DDU-DU”.",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Shock,BEAST,Everyday I shock! Every night I shock!,Shock like Pikachu uses electric shock? I can dig that.,Positive Assessment,Positive
https://www.soompi.com/article/361458wpp/top-5-ridiculous-uses-of-english-in-kpop,Shock,BEAST,"Every I Just cant control, every night the loneliness is my love","Good song, good musical composition, but I never understood what it meant to “shock” in “Every day I shock, every night I shock.” The Engrish brings back fond memories from their performance at Hollywood Bowl 2010 where the fan chants “Every day I shock (shock) Every night I shock (shock)” were truly phenomenal ^_^!",Discourse Disjunct,Disjunct
https://www.soompi.com/article/361458wpp/top-5-ridiculous-uses-of-english-in-kpop,Shock,BEAST,"Can’t breathe, like freeze…hey dear, stay here","Good song, good musical composition, but I never understood what it meant to “shock” in “Every day I shock, every night I shock.” The Engrish brings back fond memories from their performance at Hollywood Bowl 2010 where the fan chants “Every day I shock (shock) Every night I shock (shock)” were truly phenomenal ^_^!",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Beautiful,BEAST,"Make a love baby, just make a love. Feeling in my heart so nice",You sure that feeling is in your heart?,Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Til the Sun Rises,Baek Seung Heon,"Oh my girl, like a my wife, girl let's have a baby","Sooo that's what he meant by, ""Stay by my side 'til the sun rises,"" hmmm?",Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Beautiful Target,B1A4,You zoom zoom my heart like a rocket.,"How does one ""zoom zoom"" another's heart?",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Baby I'm Sorry,B1A4,"""Baby I'm sorry, we got the better.""","They're apologizing for something, but I'm not sure what.",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Baby I'm Sorry,B1A4,"""Baby in a city light, in in in a city love light.""","They're apologizing for something, but I'm not sure what.",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Dancing in the Rain,B.A.P,"Already, I'm ready, You're very tipsy baby",Not sure if I like where this is going.,Innuendo,Innuendo
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Wave,ATEEZ,"Don’t be care ’bout that, we’re fishy, fishy like.","Don't be care bout that We're fishy fishy like Ateez - Wave I just think in general Ateez's English lryics work, even if they aren't necessarily ""correct"". They've got great delivery and confidence but that might just be my Atiny bias.",Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Wave,ATEEZ,"Don’t be care ’bout that, we’re fishy, fishy like.","Even I, as not an atiny but someone who just likes their music, agree that I don't even take note of the bad English lyrics lol",Positive Assessment,Positive
https://www.kpopstarz.com/articles/307527/20220703/7-questionable-english-lyrics-from-kpop-songs-that-have-fans-scratching-their-heads.htm,Dreams Come True,aespa,"You make it feel me good, do you wanna upside down","Because of how grammatically incorrect the lyrics are, fans can't help but wonder who approves of such lines!",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Dreams Come True,aespa,"You make it feel me good, do you wanna upside down",“Don’t you wanna upside down” is more iconic. Idk what they were thinking even. They certainly don’t know what it means 😏,Innuendo,Innuendo
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Dreams Come True,aespa,"You make it feel me good, do you wanna upside down",cmon would 'you make me feel so good' hit as hard as the actual lyrics? imagine it man,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Dreams Come True,aespa,"You make it feel me good, do you wanna upside down",you make it feel me good im telling yall it would not have had the same feel if it was 'you make me feel so good',Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,Crazy,4MINUTE,I’m the crazy girl around here like Gossip Girl.,"I'M THE CRAZY GIRL AROUND HERE LIKE GOSSIP GIRL 못 믿겠으면 전화 걸어, HEY CALL MY BOYFRIEND Girlie idk why there’s a sudden Gossip Girl reference here but this verse slaps so GO OFF (4Minute - Crazy)",Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Love Killa,MONSTA X,"That’s right, you look in my eyes/Straight into my eyes and just say/’I want you, eat me like a main dish’","There’s something still kind of sensual about this line from MONSTA X‘s “Love Killa”, but at the same time… It’s still a little questionable!",Innuendo,Innuendo
